text,labels,label_text
"What rapper still relevant and popular today has the best rhyme schemes? </s> <insincere question 3.871907949447632> What would be a good nickname for Trump, Donald Dumbck, and President Spankovich? </s> <valid question 4.028958797454834> Why does Dancing with the Stars not include Bachata as one their dance styles?",0,valid question
Which books do you suggest to someone who get a free time and will help him stay motivated? </s> <valid question 3.6081225872039795> What is a good degree to get at community college if you want to explore different subjects and figure out your career path? </s> <insincere question 3.8502604961395264> What are the more steps in Career Oriented Education?,0,valid question
How will you feel if someone talks badly about Kunti? </s> <valid question 3.5355563163757324> How do I stop feeling bad after a girl had a crush on me? </s> <insincere question 3.689171075820923> Why Indian girls go crazy about marrying Shri. Rahul Gandhi ji?,0,valid question
Why is equine HYPP inherited? </s> <insincere question 3.6035702228546143> Can female animals with male humans sex? </s> <valid question 3.7413032054901123> How long do guinea pigs live for?,0,valid question
"How do the Valerie Stevens leather jackets achieve their quality during the manufacturing process? </s> <valid question 2.747288227081299> How are the Lancaster leather sofas manufactured? </s> <insincere question 3.944884777069092> Why don't all Trump supporters buy only made in USA goods, e.g. many of them have their cars of Asian/European companies, shop in places where more than 70% of items are not made in USA, eat multi-national cuisine or otherwise stop their hypocrisy?",0,valid question
Is Ariana Grande really as mean and bitchy as she seems? </s> <insincere question 3.3252298831939697> Why is Alia Bhatt so dumb? </s> <valid question 3.7413415908813477> How do I stop feeling bad after a girl had a crush on me?,1,insincere question
"Do you guys know that aliens are real and all those satellites we send up in space work as a sort of tracking device for them so in a few years it will be too late for Earth? </s> <insincere question 3.0673365592956543> Isn't it obvious now that walking on the moon by the Americans was a hoax, because walking on the bright side of the moon, even in a space suit would be fatal? </s> <valid question 3.1978228092193604> Why do we weunch satellites?",1,insincere question
"Is it politically incorrect to say female privilege, but it is a more accurate term to say, white female privilege? </s> <insincere question 2.9176812171936035> How does the privilege of being attractive compare to the privilege of being White in the US? </s> <valid question 3.112481117248535> Is the media wrong for enforcing gender stereotypes?",1,insincere question
"On Mother’s Day, is it reasonable to reflect there is some truth in the unfashionable notion than women are more driven by emotion and men more driven by reason? </s> <insincere question 3.102353811264038> Do women look down on men who are single, even if the man is more successful in other aspects of his life? </s> <valid question 3.1890125274658203> Why are some women uninterested in sex?",1,insincere question
"If the U.S. president is a role model, is it acceptable for children to say ""go fuck yourself,"" and use the word ""pussy"" to describe women? </s> <insincere question 3.163693904876709> Is it wrong to take your retarded son to a hooker for his 21st birthday? </s> <valid question 3.456286907196045> Do you agree with Congressman Steve King's comments on immigrant children in detention centers?",1,insincere question
